datetime,Temp(C),WindDir,Wind Speed(km/h),PM2.5
2016-03-03 01:00:00,24.3,75.0,27.0,20.672178206668594
2016-03-03 02:00:00,24.1,73.33333333333333,25.666666666666668,20.672178206668594
2016-03-03 03:00:00,23.9,71.66666666666667,24.333333333333332,20.672178206668594
2016-03-03 04:00:00,23.7,70.0,23.0,20.672178206668594
2016-03-03 05:00:00,24.266666666666666,70.0,22.0,20.672178206668594
2016-03-03 06:00:00,24.833333333333332,70.0,21.0,20.672178206668594
2016-03-03 07:00:00,25.4,70.0,20.0,20.672178206668594
2016-03-03 08:00:00,27.23333333333333,71.66666666666667,18.666666666666668,20.672178206668594
2016-03-03 09:00:00,29.066666666666666,73.33333333333333,17.333333333333332,20.672178206668594
2016-03-03 10:00:00,30.9,75.0,16.0,20.672178206668594
2016-03-03 11:00:00,31.73333333333333,71.66666666666667,14.333333333333334,20.672178206668594
2016-03-03 12:00:00,32.56666666666666,68.33333333333333,12.666666666666666,20.672178206668594
2016-03-03 13:00:00,33.4,65.0,11.0,20.672178206668594
2016-03-03 14:00:00,32.83333333333333,61.666666666666664,10.666666666666666,20.672178206668594
2016-03-03 15:00:00,32.266666666666666,58.333333333333336,10.333333333333334,44.2
2016-03-03 16:00:00,31.7,55.0,10.0,44.2
2016-03-03 17:00:00,30.2,58.333333333333336,12.333333333333334,44.3
2016-03-03 18:00:00,28.7,61.666666666666664,14.666666666666668,44.2
2016-03-03 19:00:00,27.2,65.0,17.0,34.2
2016-03-03 20:00:00,26.666666666666668,66.66666666666667,17.333333333333332,34.6
2016-03-03 21:00:00,26.133333333333333,68.33333333333333,17.666666666666668,31.0
2016-03-03 22:00:00,25.6,70.0,18.0,31.6
2016-03-03 23:00:00,25.3,68.33333333333333,19.333333333333332,30.1
2016-03-04 00:00:00,25.0,66.66666666666667,20.666666666666668,45.5
2016-03-04 01:00:00,24.7,65.0,22.0,46.55
2016-03-04 02:00:00,24.466666666666665,71.66666666666667,22.666666666666668,47.6
2016-03-04 03:00:00,24.233333333333334,78.33333333333333,23.333333333333332,47.9
2016-03-04 04:00:00,24.0,85.0,24.0,46.1
2016-03-04 05:00:00,24.533333333333335,86.66666666666667,23.666666666666668,38.0
2016-03-04 06:00:00,25.066666666666666,88.33333333333333,23.333333333333332,34.9
2016-03-04 07:00:00,25.6,90.0,23.0,33.3
2016-03-04 08:00:00,27.166666666666668,93.33333333333333,20.666666666666668,29.1
2016-03-04 09:00:00,28.733333333333334,96.66666666666667,18.333333333333332,31.2
2016-03-04 10:00:00,30.3,100.0,16.0,31.3
2016-03-04 11:00:00,30.633333333333333,100.0,13.333333333333334,30.9
2016-03-04 12:00:00,30.96666666666667,100.0,10.666666666666668,33.1
2016-03-04 13:00:00,31.3,100.0,8.0,32.9
2016-03-04 14:00:00,31.1,88.33333333333333,7.333333333333333,34.1
2016-03-04 15:00:00,30.9,76.66666666666667,6.666666666666667,35.9
2016-03-04 16:00:00,30.7,65.0,6.0,27.9
2016-03-04 17:00:00,29.53333333333333,60.0,9.666666666666666,31.0
2016-03-04 18:00:00,28.366666666666667,55.0,13.333333333333332,31.1
2016-03-04 19:00:00,27.2,50.0,17.0,29.9
2016-03-04 20:00:00,26.833333333333332,56.666666666666664,19.0,30.5
2016-03-04 21:00:00,26.46666666666667,63.333333333333336,21.0,28.8
2016-03-04 22:00:00,26.1,70.0,23.0,25.7
2016-03-04 23:00:00,25.833333333333336,75.0,23.0,24.9
2016-03-05 00:00:00,25.566666666666666,80.0,23.0,27.4
2016-03-05 01:00:00,25.3,85.0,23.0,34.3
2016-03-05 02:00:00,25.166666666666668,86.66666666666667,22.333333333333332,34.6
2016-03-05 03:00:00,25.03333333333333,88.33333333333333,21.666666666666668,34.6
2016-03-05 04:00:00,24.9,90.0,21.0,34.6
2016-03-05 05:00:00,25.266666666666666,100.0,20.0,34.4
2016-03-05 06:00:00,25.633333333333333,110.0,19.0,34.1
2016-03-05 07:00:00,26.0,120.0,18.0,33.9
2016-03-05 08:00:00,27.366666666666667,116.66666666666667,17.666666666666668,34.0
2016-03-05 09:00:00,28.733333333333334,113.33333333333333,17.333333333333332,33.9
2016-03-05 10:00:00,30.1,110.0,17.0,33.9
2016-03-05 11:00:00,30.6,108.33333333333333,15.333333333333334,33.9
2016-03-05 12:00:00,31.1,106.66666666666667,13.666666666666666,34.0
2016-03-05 13:00:00,31.6,105.0,12.0,34.2
2016-03-05 14:00:00,31.3,95.0,11.333333333333334,34.2
2016-03-05 15:00:00,31.0,85.0,10.666666666666666,34.1
2016-03-05 16:00:00,30.7,75.0,10.0,34.1
2016-03-05 17:00:00,29.633333333333333,71.66666666666667,13.333333333333334,34.0
2016-03-05 18:00:00,28.566666666666666,68.33333333333333,16.666666666666668,34.1
2016-03-05 19:00:00,27.5,65.0,20.0,34.0
2016-03-05 20:00:00,27.166666666666668,71.66666666666667,21.333333333333332,33.9
2016-03-05 21:00:00,26.833333333333332,78.33333333333333,22.666666666666668,33.9
2016-03-05 22:00:00,26.5,85.0,24.0,33.9
2016-03-05 23:00:00,26.366666666666667,85.0,23.666666666666668,33.9
2016-03-06 00:00:00,26.233333333333334,85.0,23.333333333333332,33.8
2016-03-06 01:00:00,26.1,85.0,23.0,32.45
2016-03-06 02:00:00,25.900000000000002,88.33333333333333,22.666666666666668,31.1
2016-03-06 03:00:00,25.7,91.66666666666667,22.333333333333332,28.6
2016-03-06 04:00:00,25.5,95.0,22.0,28.9
2016-03-06 05:00:00,25.8,98.33333333333333,20.0,25.8
2016-03-06 06:00:00,26.099999999999998,101.66666666666667,18.0,25.4
2016-03-06 07:00:00,26.4,105.0,16.0,27.2
2016-03-06 08:00:00,27.666666666666664,103.33333333333333,17.666666666666668,24.8
2016-03-06 09:00:00,28.933333333333334,101.66666666666667,19.333333333333332,27.8
2016-03-06 10:00:00,30.2,100.0,21.0,25.0
2016-03-06 11:00:00,30.733333333333334,103.33333333333333,19.333333333333332,32.6
2016-03-06 12:00:00,31.266666666666666,106.66666666666667,17.666666666666668,33.1
2016-03-06 13:00:00,31.8,110.0,16.0,30.9
2016-03-06 14:00:00,31.533333333333335,103.33333333333333,14.666666666666666,35.3
