datetime,Temp(C),lat,long,WindDir,Wind Speed(km/h),PM2.5
2016-03-03 15:00:00,32.1,16.446700000000405,102.83299999999046,85.0,8.0,35.8
2016-03-03 16:00:00,33.0,16.4467,102.833,80.0,6.0,35.8
2016-03-03 17:00:00,31.366666666666667,16.446700000000405,102.83299999999046,95.0,6.666666666666667,36.0
2016-03-03 18:00:00,29.733333333333334,16.446700000000405,102.83299999999046,110.0,7.333333333333333,35.9
2016-03-03 19:00:00,28.1,16.4467,102.833,125.0,8.0,40.166666666666664
2016-03-03 22:00:00,26.7,16.4467,102.833,130.0,8.0,44.43333333333334
2016-03-04 00:00:00,26.25,16.446700000000405,102.83299999999046,140.0,9.0,48.7
2016-03-04 01:00:00,25.8,16.4467,102.833,150.0,10.0,62.85
2016-03-04 02:00:00,24.900000000000002,16.446700000000405,102.83299999999046,163.33333333333334,10.333333333333334,77.0
2016-03-04 03:00:00,24.0,16.446700000000405,102.83299999999046,176.66666666666666,10.666666666666666,55.7
2016-03-04 04:00:00,23.1,16.4467,102.833,190.0,11.0,47.5
2016-03-04 05:00:00,22.933333333333334,16.446700000000405,102.83299999999046,191.66666666666666,11.333333333333334,36.6
2016-03-04 06:00:00,22.76666666666667,16.446700000000405,102.83299999999046,193.33333333333334,11.666666666666666,35.3
2016-03-04 07:00:00,22.6,16.4467,102.833,195.0,12.0,34.0
2016-03-04 08:00:00,24.900000000000002,16.446700000000405,102.83299999999046,201.66666666666666,12.0,31.9
2016-03-04 09:00:00,27.2,16.446700000000405,102.83299999999046,208.33333333333334,12.0,30.8
2016-03-04 10:00:00,29.5,16.4467,102.833,215.0,12.0,32.6
2016-03-04 11:00:00,30.8,16.446700000000405,102.83299999999046,208.33333333333334,10.666666666666666,38.0
2016-03-04 12:00:00,32.1,16.446700000000405,102.83299999999046,201.66666666666666,9.333333333333334,50.1
2016-03-04 13:00:00,33.4,16.4467,102.833,195.0,8.0,49.1
2016-03-04 14:00:00,33.9,16.446700000000405,102.83299999999046,201.66666666666666,7.333333333333333,62.9
2016-03-04 15:00:00,34.4,16.446700000000405,102.83299999999046,208.33333333333334,6.666666666666667,65.7
2016-03-04 16:00:00,34.9,16.4467,102.833,215.0,6.0,69.1
2016-03-04 17:00:00,33.46666666666667,16.446700000000405,102.83299999999046,205.0,6.666666666666667,51.4
2016-03-04 18:00:00,32.03333333333333,16.446700000000405,102.83299999999046,195.0,7.333333333333333,50.9
2016-03-04 19:00:00,30.6,16.4467,102.833,185.0,8.0,46.4
2016-03-04 20:00:00,30.26666666666667,16.446700000000405,102.83299999999046,185.0,10.333333333333334,50.9
2016-03-04 21:00:00,29.933333333333334,16.446700000000405,102.83299999999046,185.0,12.666666666666668,46.9
2016-03-04 22:00:00,29.6,16.4467,102.833,185.0,15.0,47.5
2016-03-04 23:00:00,29.1,16.446700000000405,102.83299999999046,188.33333333333334,14.666666666666666,46.0
2016-03-05 00:00:00,28.6,16.446700000000405,102.83299999999046,191.66666666666666,14.333333333333334,51.4
2016-03-05 01:00:00,28.1,16.4467,102.833,195.0,14.0,62.0
2016-03-05 02:00:00,27.5,16.446700000000405,102.83299999999046,188.33333333333334,14.666666666666666,74.5
2016-03-05 03:00:00,26.900000000000002,16.446700000000405,102.83299999999046,181.66666666666666,15.333333333333334,74.6
2016-03-05 04:00:00,26.3,16.4467,102.833,175.0,16.0,74.6
2016-03-05 05:00:00,26.433333333333334,16.446700000000405,102.83299999999046,173.33333333333334,20.0,74.4
